mocha_sample_id	batch_id	green_idat	red_idat	other_id	study	broad_id_number		Comstock id	sample_type	breed	sex (annotation)	health_status	Cancer	Age	Age in DB	Age at death	date_of_birth	date_of_death	date_in_database												
GSM4195703	A	202317690060_R01C02_Grn.idat	202317690060_R01C02_Red.idat.gz	197_Collie Smooth_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Male	Healthy	N	Unknown	Unknown	Unknown	1999	Unknown	NA												
GSM4195700	A	202317690060_R01C01_Grn.idat	202317690060_R01C01_Red.idat.gz	189_Collie Smooth_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Healthy	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195699	A	202317690061_R06C02_Grn.idat	202317690061_R06C02_Red.idat.gz	188_Collie Smooth_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Healthy	N	Unknown	Unknown	Unknown	2009	Unknown	NA												
GSM4195784	A	202317690037_R05C02_Grn.idat	202317690037_R05C02_Red.idat.gz	317_Doberman Pinscher_HC_	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Unknown	Healthy	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195787	A	202317690016_R06C02_Grn.idat	202317690016_R06C02_Red.idat.gz	320_Doberman Pinscher_HC_	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Unknown	Healthy	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195785	A	202317690037_R06C02_Grn.idat	202317690037_R06C02_Red.idat.gz	318_Doberman Pinscher_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Healthy	N	Unknown	Unknown	Unknown	2007	Unknown	NA												
GSM4195790	A	202317690038_R03C01_Grn.idat	202317690038_R03C01_Red.idat.gz	326_German Shepherd Dog_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Healthy	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195698	A	202317690048_R02C01_Grn.idat	202317690048_R02C01_Red.idat.gz	187_German Shepherd Dog_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Healthy	N	Unknown	Unknown	Unknown	2001	Unknown	NA												
GSM4195788	A	202317690053_R02C01_Grn.idat	202317690053_R02C01_Red.idat.gz	324_German Shepherd Dog_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Healthy	N	Unknown	Unknown	Unknown	2002	Unknown	NA												
GSM4195789	A	202317690051_R01C02_Grn.idat	202317690051_R01C02_Red.idat.gz	325_German Shepherd Dog_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Healthy	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195820	A	202317690049_R05C01_Grn.idat	202317690049_R05C01_Red.idat.gz	383_German Shepherd Dog_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Healthy	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195811	A	202317690062_R02C02_Grn.idat	202317690062_R02C02_Red.idat.gz	370_German Shepherd Dog_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Healthy	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195764	A	202317690048_R04C02_Grn.idat	202317690048_R04C02_Red.idat.gz	290_German Shepherd Dog_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Healthy	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195812	A	202317690039_R02C02_Grn.idat	202317690039_R02C02_Red.idat.gz	371_German Shepherd Dog_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Healthy	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195810	A	202317690062_R01C02_Grn.idat	202317690062_R01C02_Red.idat.gz	369_German Shepherd Dog_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Healthy	N	Unknown	Unknown	Unknown	2006	Unknown	NA												
GSM4195708	A	202317690048_R03C01_Grn.idat	202317690048_R03C01_Red.idat.gz	207_German Shepherd Dog_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Healthy	N	Unknown	Unknown	Unknown	2008	Unknown	NA												
GSM4195840	A	202317690016_R02C01_Grn.idat	202317690016_R02C01_Red.idat.gz	426_German Shepherd Pointer_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Male	Healthy	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195841	A	202317690016_R04C02_Grn.idat	202317690016_R04C02_Red.idat.gz	427_German Shepherd Pointer_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Male	Healthy	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195843	A	202317690043_R03C01_Grn.idat	202317690043_R03C01_Red.idat.gz	429_German Shepherd Pointer_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Male	Healthy	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195842	A	202317690052_R01C02_Grn.idat	202317690052_R01C02_Red.idat.gz	428_German Shepherd Pointer_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Female	Healthy	N	Unknown	Unknown	Unknown	2001	Unknown	NA												
GSM4195844	A	202317690049_R01C02_Grn.idat	202317690049_R01C02_Red.idat.gz	431_German Shepherd Pointer_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Female	Healthy	N	Unknown	Unknown	Unknown	2001	Unknown	NA												
GSM4195845	A	202317690051_R05C02_Grn.idat	202317690051_R05C02_Red.idat.gz	433_German Shepherd Pointer_HC_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Female	Healthy	N	Unknown	Unknown	Unknown	2001	Unknown	NA												
GSM4195839	A	202317690039_R02C01_Grn.idat	202317690039_R02C01_Red.idat.gz	423_German Shepherd Pointer_HC_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Male	Healthy	N	Unknown	Unknown	Unknown	Unknown														
BI_01917	A	4995631004_R01C01_Grn.idat	4995631004_R01C01_Red.idat.gz	0		1917			Blood	Golden Retriever	Female	Healthy	N	10.89	10.89	14.14	11/15/94	1/1/09	10/3/05												
BI_1918_V-BI_1918-P2-A03	A	5532701014_R03C01_Grn.idat	5532701014_R03C01_Red.idat.gz	BI_1918		1918			Blood	Golden Retriever	Male	Healthy	N	9.16	9.16	Unknown	6/22/01	Unknown	8/19/10												
BI_01942	A	4995631017_R06C01_Grn.idat	4995631017_R06C01_Red.idat.gz	BI_01942		1942			Blood	Golden Retriever	Female	Healthy	N	11.46	11.46	Unknown	6/27/98	Unknown	12/8/09												
BI_01945	A	4995631038_R01C02_Grn.idat	4995631038_R01C02_Red.idat.gz	BI_01945		1945			Blood	Golden Retriever	Male	Healthy	N	13.76	13.76	Unknown	1/1/92	Unknown	10/3/05												
BI_01947	A	4995631004_R03C01_Grn.idat	4995631004_R03C01_Red.idat.gz	BI_01947		1947			Blood	Golden Retriever	Female	Healthy	N	7.43	7.43	Unknown	5/2/98	Unknown	10/3/05												
BI_01949	A	4995631004_R04C01_Grn.idat	4995631004_R04C01_Red.idat.gz	BI_01949		1949			Blood	Golden Retriever	Female	Healthy	N	7.82	7.82	Unknown	12/9/97	Unknown	10/3/05												
BI_1967_V-BI_1967-P1-H03	A	5532701004_R03C02_Grn.idat	5532701004_R03C02_Red.idat.gz	BI_1967		1967			Blood	Golden Retriever	Female	Healthy	N	5.41	5.41	Unknown	5/6/00	Unknown	10/3/05												
BI_1982_V-BI_1982-P1-F08	A	5532701062_R02C02_Grn.idat	5532701062_R02C02_Red.idat.gz	BI_1982		1982			Blood	Golden Retriever	Female	Healthy	N	9.64	9.64	Unknown	1/1/01	Unknown	8/19/10												
BI_01987	A	4995631004_R05C01_Grn.idat	4995631004_R05C01_Red.idat.gz	BI_01987		1987			Blood	Golden Retriever	Female	Healthy	N	9.16	9.16	Unknown	8/8/96	Unknown	10/3/05												
BI_1993_V-BI_1993-P1-G10	A	5532701063_R04C01_Grn.idat	5532701063_R04C01_Red.idat.gz	BI_1993		1993			Blood	Golden Retriever	Female	Healthy	N	4.76	4.76	Unknown	1/1/01	Unknown	10/3/05												
BI_2002_V-BI_2002-P1-H07	A	5532701063_R01C02_Grn.idat	5532701063_R01C02_Red.idat.gz	BI_2002		2002			Blood	Golden Retriever	Female	Healthy	N	8.54	8.54	Unknown	2/4/02	Unknown	8/19/10												
BI_02010	A	4995631038_R04C02_Grn.idat	4995631038_R04C02_Red.idat.gz	BI_02010		2010			Blood	Golden Retriever	Female	Healthy	N	11.43	11.43	Unknown	7/8/98	Unknown	12/8/09												
BI_02015	A	4995631038_R05C02_Grn.idat	4995631038_R05C02_Red.idat.gz	BI_02015		2015			Blood	Golden Retriever	Male	Healthy	N	8.12	8.12	Unknown	8/21/97	Unknown	10/3/05												
BI_2033_V-BI_2033-P1-F09	A	5532701062_R03C02_Grn.idat	5532701062_R03C02_Red.idat.gz	BI_2033		2033			Blood	Golden Retriever	Male	Healthy	N	8.64	8.64	Unknown	1/1/02	Unknown	8/19/10												
BI_02037	A	4995631038_R06C02_Grn.idat	4995631038_R06C02_Red.idat.gz	BI_02037		2037			Blood	Golden Retriever	Male	Healthy	N	8.11	8.11	Unknown	8/27/97	Unknown	10/3/05												
BI_02041	A	4995631017_R01C02_Grn.idat	4995631017_R01C02_Red.idat.gz	0		2041			Blood	Golden Retriever	Female	Healthy	N	8.37	8.37	Unknown	5/23/97	Unknown	10/3/05												
BI_02044	A	4995631017_R02C02_Grn.idat	4995631017_R02C02_Red.idat.gz	BI_02044		2044			Blood	Golden Retriever	Female	Healthy	N	11.06	11.06	Unknown	11/19/98	Unknown	12/8/09												
BI_2053_V-BI_2053-P1-F04	A	5532701003_R04C02_Grn.idat	5532701003_R04C02_Red.idat.gz	BI_2053		2053			Blood	Golden Retriever	Male	Healthy	N	9.78	9.78	Unknown	11/9/00	Unknown	8/19/10												
BI_02062	A	4995631017_R03C02_Grn.idat	4995631017_R03C02_Red.idat.gz	BI_02062		2062			Blood	Golden Retriever	Male	Healthy	N	7.78	11.53	7.78	6/2/98	3/12/06	12/8/09												
BI_02070	A	4995631017_R04C02_Grn.idat	4995631017_R04C02_Red.idat.gz	BI_02070		2070			Blood	Golden Retriever	Female	Healthy	N	8.69	8.69	Unknown	1/25/97	Unknown	10/3/05												
BI_02077	A	4995631017_R05C02_Grn.idat	4995631017_R05C02_Red.idat.gz	BI_02077		2077			Blood	Golden Retriever	Female	Healthy	N	10.43	10.43	Unknown	7/8/99	Unknown	12/8/09												
BI_02085	A	4995631017_R06C02_Grn.idat	4995631017_R06C02_Red.idat.gz	BI_02085		2085			Blood	Golden Retriever	Female	Healthy	N	9.40	9.40	Unknown	5/12/96	Unknown	10/3/05												
GOLDEN_BI_2095_BROAD_2095	A	5511344018_R02C02_Grn.idat	5511344018_R02C02_Red.idat.gz			2095			Blood	Golden Retriever	Female	Healthy	N	11.16	11.16	Unknown	10/14/98	Unknown	12/8/09												
BI_2105_V-BI_2105-P1-E12	A	5532701062_R06C01_Grn.idat	5532701062_R06C01_Red.idat.gz	BI_2105		2105			Blood	Golden Retriever	Female	Healthy	N	8.64	8.64	Unknown	1/1/02	Unknown	8/19/10												
BI_2121_V-BI_2121-P1-F01	A	5532701003_R01C02_Grn.idat	5532701003_R01C02_Red.idat.gz	BI_2121		2121			Blood	Golden Retriever	Male	Healthy	N	4.08	4.08	Unknown	9/5/01	Unknown	10/3/05												
BI_02122	A	4995631009_R01C01_Grn.idat	4995631009_R01C01_Red.idat.gz	0		2122			Blood	Golden Retriever	Male	Healthy	N	10.95	10.95	Unknown	12/28/98	Unknown	12/8/09												
BI_02124	A	4995631009_R03C01_Grn.idat	4995631009_R03C01_Red.idat.gz	BI_02124		2124			Blood	Golden Retriever	Female	Healthy	N	11.76	11.76	Unknown	1/1/94	Unknown	10/3/05												
BI_02130	A	4995631009_R04C01_Grn.idat	4995631009_R04C01_Red.idat.gz	BI_02130		2130			Blood	Golden Retriever	Female	Healthy	N	9.76	12.12	9.76	10/30/97	8/1/07	12/8/09												
BI_02135	A	4995631009_R06C01_Grn.idat	4995631009_R06C01_Red.idat.gz	BI_02135		2135			Blood	Golden Retriever	Male	Healthy	N	10.19	10.19	Unknown	10/3/99	Unknown	12/8/09												
BI_02136	A	4995631030_R01C01_Grn.idat	4995631030_R01C01_Red.idat.gz	0		2136			Blood	Golden Retriever	Female	Healthy	N	12.17	12.17	Unknown	10/10/97	Unknown	12/8/09												
BI_02139	A	4959243149_R02C01_Grn.idat	4959243149_R02C01_Red.idat.gz	BI_02139		2139			Blood	Golden Retriever	Male	Healthy	N	14.45	14.45	17.79	4/25/91	2/1/09	10/3/05												
BI_02145	A	4995631030_R02C01_Grn.idat	4995631030_R02C01_Red.idat.gz	BI_02145		2145			Blood	Golden Retriever	Female	Healthy	N	10.39	10.39	Unknown	7/20/99	Unknown	12/8/09												
2146	A	9986836107_R02C02_Grn.idat	9986836107_R02C02_Red.idat.gz			2146			Blood	Golden Retriever	Female	Healthy	N	3.34	3.34	Unknown	6/1/02	Unknown	10/3/05												
BI_02159	A	4995631030_R03C01_Grn.idat	4995631030_R03C01_Red.idat.gz	BI_02159		2159			Blood	Golden Retriever	Male	Healthy	N	10.94	10.94	Unknown	1/1/99	Unknown	12/8/09												
BI_02164	A	4995631030_R04C01_Grn.idat	4995631030_R04C01_Red.idat.gz	BI_02164		2164			Blood	Golden Retriever	Male	Healthy	N	12.83	12.83	Unknown	12/7/92	Unknown	10/3/05												
BI_02173	A	4995631030_R05C01_Grn.idat	4995631030_R05C01_Red.idat.gz	BI_02173		2173			Blood	Golden Retriever	Female	Healthy	N	8.88	8.88	Unknown	11/18/96	Unknown	10/3/05												
BI_02177	A	4995631030_R06C01_Grn.idat	4995631030_R06C01_Red.idat.gz	BI_02177		2177			Blood	Golden Retriever	Male	Healthy	N	16.47	16.47	Unknown	6/23/93	Unknown	12/8/09												
BI_02178	A	4959243149_R05C01_Grn.idat	4959243149_R05C01_Red.idat.gz	BI_02178		2178			Blood	Golden Retriever	Male	Healthy	N	13.82	13.82	Unknown	11/27/94	Unknown	9/20/08												
BI_02189	A	4995631017_R02C01_Grn.idat	4995631017_R02C01_Red.idat.gz	BI_02189		2189			Blood	Golden Retriever	Male	Healthy	N	11.26	11.26	Unknown	9/6/98	Unknown	12/8/09												
BI_2198_V-BI_2198-P1-H01	A	5532701004_R01C02_Grn.idat	5532701004_R01C02_Red.idat.gz	BI_2198		2198			Blood	Golden Retriever	Male	Healthy	N	Unknown	Unknown	Unknown	Unknown	Unknown	8/19/10												
BI_02200	A	4959243057_R04C02_Grn.idat	4959243057_R04C02_Red.idat.gz	0		2200			Blood	Golden Retriever	Female	Healthy	N	10.52	10.52	Unknown	3/29/95	Unknown	10/3/05												
BI_02202	A	4959243057_R05C02_Grn.idat	4959243057_R05C02_Red.idat.gz	BI_02202		2202			Blood	Golden Retriever	Female	Healthy	N	11.09	11.09	Unknown	11/9/98	Unknown	12/8/09												
BI_02206	A	4959243057_R06C02_Grn.idat	4959243057_R06C02_Red.idat.gz	BI_02206		2206			Blood	Golden Retriever	Male	Healthy	N	10.49	10.49	Unknown	6/14/99	Unknown	12/8/09												
BI_02218	A	4995631042_R01C02_Grn.idat	4995631042_R01C02_Red.idat.gz	BI_02218		2218			Blood	Golden Retriever	Male	Healthy	N	11.99	11.99	Unknown	12/14/97	Unknown	12/8/09												
BI_02223	A	4959243149_R06C01_Grn.idat	4959243149_R06C01_Red.idat.gz	BI_02223		2223			Blood	Golden Retriever	Female	Healthy	N	10.59	10.59	10.89	3/5/95	1/22/06	10/3/05												
BI_02225	A	4995631004_R01C02_Grn.idat	4995631004_R01C02_Red.idat.gz	0		2225			Blood	Golden Retriever	Female	Healthy	N	14.71	14.71	16.80	1/20/91	11/5/07	10/3/05												
BI_02231	A	4995631004_R02C02_Grn.idat	4995631004_R02C02_Red.idat.gz	BI_02231		2231			Blood	Golden Retriever	Female	Healthy	N	14.57	14.57	14.74	3/13/91	12/4/05	10/3/05												
BI_02234	A	4995631042_R02C02_Grn.idat	4995631042_R02C02_Red.idat.gz	BI_02234		2234			Blood	Golden Retriever	Male	Healthy	N	8.46	8.46	Unknown	4/19/97	Unknown	10/3/05												
BI_02235	A	4995631042_R03C02_Grn.idat	4995631042_R03C02_Red.idat.gz	BI_02235		2235			Blood	Golden Retriever	Male	Healthy	N	8.40	8.40	Unknown	5/13/97	Unknown	10/3/05												
2236	A	9255905057_R02C02_Grn.idat	9255905057_R02C02_Red.idat.gz	2236		2236			Blood	Golden Retriever	Female	Healthy	N	3.76	3.76	Unknown	1/1/02	Unknown	10/3/05												
BI_02268	A	4995631042_R06C02_Grn.idat	4995631042_R06C02_Red.idat.gz	BI_02268		2268			Blood	Golden Retriever	Male	Healthy	N	10.03	10.03	Unknown	12/1/99	Unknown	12/8/09												
BI_02273	A	4959243029_R01C01_Grn.idat	4959243029_R01C01_Red.idat.gz	BI_02273		2273			Blood	Golden Retriever	Male	Healthy	N	8.18	10.69	8.18	4/3/99	6/5/07	12/8/09												
BI_02287	A	4995631004_R03C02_Grn.idat	4995631004_R03C02_Red.idat.gz	BI_02287		2287			Blood	Golden Retriever	Male	Healthy	N	6.88	6.88	Unknown	11/19/98	Unknown	10/3/05												
BI_02293	A	4959243029_R02C01_Grn.idat	4959243029_R02C01_Red.idat.gz	BI_02293		2293			Blood	Golden Retriever	Female	Healthy	N	9.31	9.31	Unknown	6/14/96	Unknown	10/3/05												
BI_02294	A	4959243029_R03C01_Grn.idat	4959243029_R03C01_Red.idat.gz	BI_02294		2294			Blood	Golden Retriever	Female	Healthy	N	11.68	11.68	Unknown	4/8/98	Unknown	12/8/09												
BI_2298_V-BI_2298-P1-F11	A	5532701062_R05C02_Grn.idat	5532701062_R05C02_Red.idat.gz	BI_2298		2298			Blood	Golden Retriever	Female	Healthy	N	9.02	9.02	Unknown	8/14/01	Unknown	8/19/10												
BI_2311_V-BI_2311-P1-H04	A	5532701004_R04C02_Grn.idat	5532701004_R04C02_Red.idat.gz	BI_2311		2311			Blood	Golden Retriever	Male	Healthy	N	Unknown	Unknown	Unknown		Unknown	8/19/10												
BI_02320	A	4995631004_R04C02_Grn.idat	4995631004_R04C02_Red.idat.gz	BI_02320		2320			Blood	Golden Retriever	Male	Healthy	N	11.24	11.24	12.14	7/20/94	9/7/06	10/13/05												
BI_02322	A	4959243029_R05C01_Grn.idat	4959243029_R05C01_Red.idat.gz	BI_02322		2322			Blood	Golden Retriever	Male	Healthy	N	15.75	15.80	15.75	2/24/94	11/19/09	12/8/09												
BI_02323	A	4995631004_R05C02_Grn.idat	4995631004_R05C02_Red.idat.gz	BI_02323		2323			Blood	Golden Retriever	Male	Healthy	N	11.09	11.09	Unknown	9/13/94	Unknown	10/13/05												
BI_02327	A	4959243029_R06C01_Grn.idat	4959243029_R06C01_Red.idat.gz	BI_02327		2327			Blood	Golden Retriever	Female	Healthy	N	14.81	14.81	Unknown	2/21/95	Unknown	12/8/09												
BI_02329	A	4995631033_R01C01_Grn.idat	4995631033_R01C01_Red.idat.gz	BI_02329		2329			Blood	Golden Retriever	Male	Healthy	N	10.91	10.91	Unknown	1/14/99	Unknown	12/8/09												
BI_2331_V-BI_2331-P1-G03	A	5532701004_R03C01_Grn.idat	5532701004_R03C01_Red.idat.gz	BI_2331		2331			Blood	Golden Retriever	Female	Healthy	N	9.64	9.64	Unknown	1/1/01	Unknown	8/19/10												
BI_02334	A	4995631033_R02C01_Grn.idat	4995631033_R02C01_Red.idat.gz	BI_02334		2334			Blood	Golden Retriever	Female	Healthy	N	12.50	12.50	Unknown	4/18/93	Unknown	10/13/05												
GOLDEN_BI_2340_BROAD_2340	A	5511344023_R04C01_Grn.idat	5511344023_R04C01_Red.idat.gz	GOLDEN_BI_2340_BROAD_2340		2340			Blood	Golden Retriever	Male	Healthy	N	9.99	9.99	Unknown	12/15/99	Unknown	12/8/09												
BI_02354	A	4959243149_R01C02_Grn.idat	4959243149_R01C02_Red.idat.gz	BI_02354		2354			Blood	Golden Retriever	Male	Healthy	N	11.20	11.20	14.58	8/4/94	2/28/09	10/13/05												
BI_2367_V-BI_2367-P1-F12	A	5532701062_R06C02_Grn.idat	5532701062_R06C02_Red.idat.gz	BI_2367		2367			Unknown	Golden Retriever	Male	Healthy	N	Unknown	Unknown	Unknown	5/7/01	Unknown	Unknown												
BI_02378	A	4995631033_R04C01_Grn.idat	4995631033_R04C01_Red.idat.gz	BI_02378		2378			Blood	Golden Retriever	Female	Healthy	N	17.30	17.30	Unknown	8/23/92	Unknown	12/8/09												
BI_02381	A	4995631033_R05C01_Grn.idat	4995631033_R05C01_Red.idat.gz	BI_02381		2381			Blood	Golden Retriever	Female	Healthy	N	9.73	9.73	Unknown	1/1/99	Unknown	9/20/08												
BI_02404	A	4995631033_R06C01_Grn.idat	4995631033_R06C01_Red.idat.gz	BI_02404		2404			Blood	Golden Retriever	Male	Healthy	N	9.32	9.32	Unknown	6/21/96	Unknown	10/14/05												
2410	A	9255905062_R01C02_Grn.idat	9255905062_R01C02_Red.idat.gz	2410		2410			Blood	Golden Retriever	Female	Healthy	N	3.79	3.79	Unknown	1/1/02	Unknown	10/14/05												
BI_02422	A	4959243029_R02C02_Grn.idat	4959243029_R02C02_Red.idat.gz	BI_02422		2422			Blood	Golden Retriever	Female	Healthy	N	9.95	10.68	9.95	4/8/99	3/19/09	12/8/09												
BI_02432	A	4959243029_R03C02_Grn.idat	4959243029_R03C02_Red.idat.gz	BI_02432		2432			Blood	Golden Retriever	Male	Healthy	N	11.44	11.44	Unknown	7/3/98	Unknown	12/8/09												
2434	A	9255905118_R06C02_Grn.idat	9255905118_R06C02_Red.idat.gz	2434		2434			Blood	Golden Retriever	Male	Healthy	N	3.79	3.79	Unknown	1/1/02	Unknown	10/14/05												
2453	A	9255905062_R03C02_Grn.idat	9255905062_R03C02_Red.idat.gz	2453		2453			Blood	Golden Retriever	Female	Healthy	N	1.79	1.79	Unknown	1/1/04	Unknown	10/17/05												
BI_02455	A	4959243029_R06C02_Grn.idat	4959243029_R06C02_Red.idat.gz	BI_02455		2455			Blood	Golden Retriever	Female	Healthy	N	10.13	10.13	Unknown	10/25/99	Unknown	12/8/09												
BI_02458	A	4995631033_R01C02_Grn.idat	4995631033_R01C02_Red.idat.gz	BI_02458		2458			Blood	Golden Retriever	Female	Healthy	N	8.58	8.58	Unknown	3/23/97	Unknown	10/17/05												
BI_2470_V-BI_2470-P1-G02	A	5532701004_R02C01_Grn.idat	5532701004_R02C01_Red.idat.gz	BI_2470		2470			Blood	Golden Retriever	Female	Healthy	N	3.79	3.79	Unknown	1/1/02	Unknown	10/17/05												
BI_02478	A	4995631033_R03C02_Grn.idat	4995631033_R03C02_Red.idat.gz	BI_02478		2478			Blood	Golden Retriever	Female	Healthy	N	10.81	10.81	Unknown	12/29/94	Unknown	10/17/05												
BI_02484	A	4995631033_R04C02_Grn.idat	4995631033_R04C02_Red.idat.gz	BI_02484		2484			Blood	Golden Retriever	Female	Healthy	N	8.56	8.56	Unknown	3/29/97	Unknown	10/17/05												
GR_BI_2488_BROAD_2488	A	4959243006_R01C01_Grn.idat	4959243006_R01C01_Red.idat.gz			2488			Blood	Golden Retriever	Female	Healthy	N	11.05	11.05	Unknown	11/22/98	Unknown	12/8/09												
2497	A	9255905119_R05C01_Grn.idat	9255905119_R05C01_Red.idat.gz	2497		2497			Blood	Golden Retriever	Male	Healthy	N	3.79	3.79	Unknown	1/1/02	Unknown	10/17/05												
