"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","tissue:ch1"
"GSM3424547","CAUC: 31373","GSM3424547","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Caucasian Shepherd","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424547/suppl/GSM3424547_200950830001_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424547/suppl/GSM3424547_200950830001_R01C01_Red.idat.gz","0","Caucasian Shepherd","whole blood"
"GSM3424548","CAUC: 31374","GSM3424548","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Caucasian Shepherd","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424548/suppl/GSM3424548_200950830001_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424548/suppl/GSM3424548_200950830001_R03C02_Red.idat.gz","0","Caucasian Shepherd","whole blood"
"GSM3424549","CAUC: 31376","GSM3424549","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Caucasian Shepherd","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424549/suppl/GSM3424549_200950830020_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424549/suppl/GSM3424549_200950830020_R01C01_Red.idat.gz","0","Caucasian Shepherd","whole blood"
"GSM3424550","CAUC: 31379","GSM3424550","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Caucasian Shepherd","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424550/suppl/GSM3424550_200950830010_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424550/suppl/GSM3424550_200950830010_R01C01_Red.idat.gz","0","Caucasian Shepherd","whole blood"
"GSM3424551","CAUC: 31380","GSM3424551","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Caucasian Shepherd","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424551/suppl/GSM3424551_200514100016_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424551/suppl/GSM3424551_200514100016_R05C02_Red.idat.gz","0","Caucasian Shepherd","whole blood"
"GSM3424552","CASD: 31381","GSM3424552","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Central Asian Sheepdog","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424552/suppl/GSM3424552_200950830022_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424552/suppl/GSM3424552_200950830022_R01C01_Red.idat.gz","0","Central Asian Sheepdog","whole blood"
"GSM3424553","CASD: 31382","GSM3424553","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Central Asian Sheepdog","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424553/suppl/GSM3424553_200950830022_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424553/suppl/GSM3424553_200950830022_R03C02_Red.idat.gz","0","Central Asian Sheepdog","whole blood"
"GSM3424554","CIRN: 31384","GSM3424554","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424554/suppl/GSM3424554_200950830001_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424554/suppl/GSM3424554_200950830001_R02C01_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424555","CIRN: 31385","GSM3424555","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424555/suppl/GSM3424555_200950830001_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424555/suppl/GSM3424555_200950830001_R04C02_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424556","CIRN: 31386","GSM3424556","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424556/suppl/GSM3424556_200950830016_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424556/suppl/GSM3424556_200950830016_R06C01_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424557","CIRN: 31387","GSM3424557","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424557/suppl/GSM3424557_200950830020_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424557/suppl/GSM3424557_200950830020_R02C01_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424558","CIRN: 31389","GSM3424558","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424558/suppl/GSM3424558_200950830010_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424558/suppl/GSM3424558_200950830010_R03C02_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424559","CIRN: 31390","GSM3424559","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424559/suppl/GSM3424559_200950830011_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424559/suppl/GSM3424559_200950830011_R05C01_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424560","CIRN: 31392","GSM3424560","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424560/suppl/GSM3424560_200950830012_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424560/suppl/GSM3424560_200950830012_R03C02_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424561","CIRN: 31393","GSM3424561","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424561/suppl/GSM3424561_200950830019_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424561/suppl/GSM3424561_200950830019_R05C01_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424562","CIRN: 31394","GSM3424562","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Cirneco dell'Etna","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424562/suppl/GSM3424562_200514100018_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424562/suppl/GSM3424562_200514100018_R01C02_Red.idat.gz","0","Cirneco dell'Etna","whole blood"
"GSM3424563","ITGY: 31403","GSM3424563","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Italian Greyhound","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424563/suppl/GSM3424563_200950830022_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424563/suppl/GSM3424563_200950830022_R02C02_Red.idat.gz","0","Italian Greyhound","whole blood"
"GSM3424564","ITGY: 31404","GSM3424564","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Italian Greyhound","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424564/suppl/GSM3424564_200950830023_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424564/suppl/GSM3424564_200950830023_R04C01_Red.idat.gz","0","Italian Greyhound","whole blood"
"GSM3424565","ITGY: 31405","GSM3424565","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Italian Greyhound","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424565/suppl/GSM3424565_200950830023_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424565/suppl/GSM3424565_200950830023_R06C02_Red.idat.gz","0","Italian Greyhound","whole blood"
"GSM3424566","ITGY: 31406","GSM3424566","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Italian Greyhound","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424566/suppl/GSM3424566_200950830024_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424566/suppl/GSM3424566_200950830024_R02C02_Red.idat.gz","0","Italian Greyhound","whole blood"
"GSM3424567","ITGY: 31407","GSM3424567","Public on Oct 10 2018","Oct 09 2018","Oct 10 2018","genomic","1","whole blood","Canis lupus familiaris","breed: Italian Greyhound","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","Cy3, Cy5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424567/suppl/GSM3424567_200950830032_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3424nnn/GSM3424567/suppl/GSM3424567_200950830032_R03C01_Red.idat.gz","0","Italian Greyhound","whole blood"
