"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch1.7","characteristics_ch1.8","characteristics_ch1.9","characteristics_ch1.10","characteristics_ch1.11","characteristics_ch1.12","characteristics_ch1.13","characteristics_ch1.14","characteristics_ch1.15","characteristics_ch1.16","characteristics_ch1.17","characteristics_ch1.18","characteristics_ch1.19","characteristics_ch1.20","characteristics_ch1.21","characteristics_ch1.22","characteristics_ch1.23","characteristics_ch1.24","characteristics_ch1.25","characteristics_ch1.26","characteristics_ch1.27","characteristics_ch1.28","characteristics_ch1.29","characteristics_ch1.30","characteristics_ch1.31","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","ab:ch1","ac:ch1","ae:ch1","ai:ch1","bc:ch1","bd:ch1","bk:ch1","breed:ch1","ccd size:ch1","cd:ch1","cj:ch1","disease state:ch1","f-d/bc:ch1","f-d/cd:ch1","f-diam:ch1","fg:ch1","fh:ch1","ID:ch1","l1 (hae):ch1","l10 (afg):ch1","l11(ebk):ch1","l2 (fac):ch1","l3 (dib):ch1","l4 (fae):ch1","l4+l7:ch1","l5 (aeb):ch1","l6(dba):ch1","l7(dbi):ch1","l8 (ebd):ch1","l9 (jcb):ch1","sm:ch1","vd:ch1"
"GSM2748069","CKCS_Saliva_Unaffected_51","GSM2748069","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 1","vd: 1","f-diam: 49.47","ab: 16.03","bc: 19.51","cd: 14.47","bd: 31.51","ae: 36.65","ID: 31.58","ac: 31.17","ai: 31.04","cj: 12.32","fh: 28.39","fg: 0","bk: 9.51","l1 (hae): 120.39","l2 (fac): 68.08","l3 (dib): 73.67","l4 (fae): 42.93","l5 (aeb): 25.51","l6(dba): 100.88","l7(dbi): 27","l8 (ebd): 5.19","l9 (jcb): 40.7","l10 (afg): 0","l11(ebk): 30.98","f-d/cd: 3.418797512","f-d/bc: 2.535622758","l4+l7: 69.93","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002214-WG3318316-DNA-E03","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","16.03","31.17","36.65","31.04","19.51","31.51","9.51","Cavalier King Charles Spaniel","1","14.47","12.32","control","2.535622758","3.418797512","49.47","0","28.39","31.58","120.39","0","30.98","68.08","73.67","42.93","69.93","25.51","100.88","27","5.19","40.7","0","1"
"GSM2748070","CKCS_Saliva_Affected_52","GSM2748070","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 4","vd: 2","f-diam: 48.61","ab: 14.45","bc: 18.33","cd: 13.32","bd: 30.69","ae: 35.72","ID: 30.15","ac: 28.11","ai: 23.27","cj: 13.37","fh: 25.46","fg: 23.99","bk: 12.77","l1 (hae): 117.77","l2 (fac): 68.51","l3 (dib): 84.78","l4 (fae): 42.94","l5 (aeb): 23.36","l6(dba): 102.34","l7(dbi): 16.66","l8 (ebd): 8.46","l9 (jcb): 38.71","l10 (afg): 50.43","l11(ebk): 40.87","f-d/cd: 3.649399399","f-d/bc: 2.651936716","l4+l7: 59.6","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002571-WG3318316-DNA-E04","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.45","28.11","35.72","23.27","18.33","30.69","12.77","Cavalier King Charles Spaniel","4","13.32","13.37","case","2.651936716","3.649399399","48.61","23.99","25.46","30.15","117.77","50.43","40.87","68.51","84.78","42.94","59.6","23.36","102.34","16.66","8.46","38.71","1","2"
"GSM2748071","CKCS_Saliva_Affected_53","GSM2748071","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 2","vd: 3","f-diam: 49.25","ab: 13.3","bc: 19.4","cd: 18.72","bd: 31.24","ae: 34.76","ID: 33.2","ac: 30.13","ai: 32.95","cj: 12.81","fh: 28.78","fg: 22.36","bk: 10.9","l1 (hae): 116.55","l2 (fac): 79.85","l3 (dib): 67.3","l4 (fae): 44.91","l5 (aeb): 22.73","l6(dba): 102.05","l7(dbi): 35.34","l8 (ebd): 5.44","l9 (jcb): 32.53","l10 (afg): 53.35","l11(ebk): 47.57","f-d/cd: 2.630876068","f-d/bc: 2.538659794","l4+l7: 80.25","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002480-WG3318316-DNA-E05","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","13.3","30.13","34.76","32.95","19.4","31.24","10.9","Cavalier King Charles Spaniel","2","18.72","12.81","case","2.538659794","2.630876068","49.25","22.36","28.78","33.2","116.55","53.35","47.57","79.85","67.3","44.91","80.25","22.73","102.05","35.34","5.44","32.53","1","3"
"GSM2748072","CKCS_Saliva_Unaffected_54","GSM2748072","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 0","f-diam: 45.94","ab: 13.93","bc: 17.75","cd: 13.2","bd: 29.48","ae: 34.73","ID: 29.01","ac: 27.75","ai: 25.95","cj: 10.37","fh: 26.19","fg: 24.25","bk: 11.49","l1 (hae): 121.48","l2 (fac): 67.28","l3 (dib): 81.37","l4 (fae): 41.36","l5 (aeb): 23.29","l6(dba): 104.62","l7(dbi): 23.24","l8 (ebd): 6.54","l9 (jcb): 34.25","l10 (afg): 50.14","l11(ebk): 41.33","f-d/cd: 3.48030303","f-d/bc: 2.588169014","l4+l7: 64.6","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002533-WG3318316-DNA-E06","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","13.93","27.75","34.73","25.95","17.75","29.48","11.49","Cavalier King Charles Spaniel","0","13.2","10.37","control","2.588169014","3.48030303","45.94","24.25","26.19","29.01","121.48","50.14","41.33","67.28","81.37","41.36","64.6","23.29","104.62","23.24","6.54","34.25","0","0"
"GSM2748073","CKCS_Saliva_Unaffected_55","GSM2748073","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 0","f-diam: 46.55","ab: 14.09","bc: 17.34","cd: 14.43","bd: 29.6","ae: 35.86","ID: 28.27","ac: 28.45","ai: 25.48","cj: 11.47","fh: 24.54","fg: 26.54","bk: 11.43","l1 (hae): 123.67","l2 (fac): 65.62","l3 (dib): 86.29","l4 (fae): 39.38","l5 (aeb): 22.65","l6(dba): 108.79","l7(dbi): 22.3","l8 (ebd): 7.01","l9 (jcb): 43.33","l10 (afg): 48.77","l11(ebk): 42.73","f-d/cd: 3.225918226","f-d/bc: 2.684544406","l4+l7: 61.68","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002481-WG3318316-DNA-E07","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.09","28.45","35.86","25.48","17.34","29.6","11.43","Cavalier King Charles Spaniel","0","14.43","11.47","control","2.684544406","3.225918226","46.55","26.54","24.54","28.27","123.67","48.77","42.73","65.62","86.29","39.38","61.68","22.65","108.79","22.3","7.01","43.33","0","0"
"GSM2748074","CKCS_Saliva_Unaffected_56","GSM2748074","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 1","vd: 1","f-diam: 44.61","ab: 15.52","bc: 17.18","cd: 13.16","bd: 28.86","ae: 34.59","ID: 29.06","ac: 27.76","ai: 25.4","cj: 10.98","fh: 27.35","fg: 23.21","bk: 11.13","l1 (hae): 112.22","l2 (fac): 71.76","l3 (dib): 80.45","l4 (fae): 39.69","l5 (aeb): 26.04","l6(dba): 100.92","l7(dbi): 20.2","l8 (ebd): 13.33","l9 (jcb): 43.9","l10 (afg): 54.2","l11(ebk): 38.71","f-d/cd: 3.389817629","f-d/bc: 2.596623981","l4+l7: 59.89","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002262-WG3318316-DNA-E08","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.52","27.76","34.59","25.4","17.18","28.86","11.13","Cavalier King Charles Spaniel","1","13.16","10.98","control","2.596623981","3.389817629","44.61","23.21","27.35","29.06","112.22","54.2","38.71","71.76","80.45","39.69","59.89","26.04","100.92","20.2","13.33","43.9","0","1"
"GSM2748075","CKCS_Saliva_Unaffected_57","GSM2748075","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 2","f-diam: 48.83","ab: 16.8","bc: 17.23","cd: 13.55","bd: 29.23","ae: 34.75","ID: 29.34","ac: 29.28","ai: 28.03","cj: 13.27","fh: 28.42","fg: 22.04","bk: 11.55","l1 (hae): 120.6","l2 (fac): 72.24","l3 (dib): 79.62","l4 (fae): 44.64","l5 (aeb): 28.55","l6(dba): 100.52","l7(dbi): 22.1","l8 (ebd): 9.28","l9 (jcb): 38.46","l10 (afg): 52.19","l11(ebk): 54","f-d/cd: 3.603690037","f-d/bc: 2.834010447","l4+l7: 66.74","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002964-WG3318316-DNA-E09","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","16.8","29.28","34.75","28.03","17.23","29.23","11.55","Cavalier King Charles Spaniel","0","13.55","13.27","control","2.834010447","3.603690037","48.83","22.04","28.42","29.34","120.6","52.19","54","72.24","79.62","44.64","66.74","28.55","100.52","22.1","9.28","38.46","0","2"
"GSM2748076","CKCS_Saliva_Unaffected_58","GSM2748076","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 1","vd: 0","f-diam: 45.14","ab: 16.61","bc: 17.79","cd: 13.7","bd: 25.9","ae: 31.74","ID: 31.15","ac: 31.56","ai: 37.09","cj: 12.09","fh: 25.21","fg: 20.19","bk: 10.86","l1 (hae): 126.05","l2 (fac): 72.51","l3 (dib): 56.42","l4 (fae): 45.53","l5 (aeb): 31.74","l6(dba): 98.8","l7(dbi): 41.34","l8 (ebd): 3.45","l9 (jcb): 34.72","l10 (afg): 48.43","l11(ebk): 48.66","f-d/cd: 3.294890511","f-d/bc: 2.537380551","l4+l7: 86.87","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0003463-WG3318316-DNA-E10","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","16.61","31.56","31.74","37.09","17.79","25.9","10.86","Cavalier King Charles Spaniel","1","13.7","12.09","control","2.537380551","3.294890511","45.14","20.19","25.21","31.15","126.05","48.43","48.66","72.51","56.42","45.53","86.87","31.74","98.8","41.34","3.45","34.72","0","0"
"GSM2748077","CKCS_Saliva_Affected_59","GSM2748077","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 2","vd: 2","f-diam: 46.34","ab: 13.48","bc: 16.65","cd: 16.49","bd: 28.55","ae: 34.16","ID: 29.37","ac: 27.69","ai: 28.6","cj: 11.58","fh: 25.06","fg: 26.74","bk: 10.48","l1 (hae): 125.67","l2 (fac): 69.58","l3 (dib): 72.67","l4 (fae): 43.2","l5 (aeb): 23.29","l6(dba): 101.11","l7(dbi): 28.89","l8 (ebd): 0","l9 (jcb): 42.72","l10 (afg): 54.09","l11(ebk): 51.06","f-d/cd: 2.810187993","f-d/bc: 2.783183183","l4+l7: 72.09","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002705-WG3318316-DNA-E11","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","13.48","27.69","34.16","28.6","16.65","28.55","10.48","Cavalier King Charles Spaniel","2","16.49","11.58","case","2.783183183","2.810187993","46.34","26.74","25.06","29.37","125.67","54.09","51.06","69.58","72.67","43.2","72.09","23.29","101.11","28.89","0","42.72","1","2"
"GSM2748078","CKCS_Saliva_Unaffected_60","GSM2748078","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 1","vd: 0","f-diam: 46.22","ab: 14.56","bc: 19.93","cd: 13.13","bd: 30","ae: 34.3","ID: 31.61","ac: 30.33","ai: 31.65","cj: 12.87","fh: 27.76","fg: 21.5","bk: 11.99","l1 (hae): 119.82","l2 (fac): 68.01","l3 (dib): 67.36","l4 (fae): 42.78","l5 (aeb): 25.35","l6(dba): 100.75","l7(dbi): 31.39","l8 (ebd): 5.43","l9 (jcb): 37.98","l10 (afg): 57.28","l11(ebk): 47.29","f-d/cd: 3.520182788","f-d/bc: 2.319116909","l4+l7: 74.17","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002549-WG3318316-DNA-E12","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.56","30.33","34.3","31.65","19.93","30","11.99","Cavalier King Charles Spaniel","1","13.13","12.87","control","2.319116909","3.520182788","46.22","21.5","27.76","31.61","119.82","57.28","47.29","68.01","67.36","42.78","74.17","25.35","100.75","31.39","5.43","37.98","0","0"
"GSM2748079","CKCS_Saliva_Affected_61","GSM2748079","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 3","vd: 0","f-diam: 46.4","ab: 16.74","bc: 16.83","cd: 15.84","bd: 31.13","ae: 34.7","ID: 32.21","ac: 27.67","ai: 26.97","cj: 11.54","fh: 26.5","fg: 22.73","bk: 10.46","l1 (hae): 118.09","l2 (fac): 70.33","l3 (dib): 74.11","l4 (fae): 42.14","l5 (aeb): 28.84","l6(dba): 94.57","l7(dbi): 19.25","l8 (ebd): 4.76","l9 (jcb): 33.47","l10 (afg): 48.27","l11(ebk): 50.46","f-d/cd: 2.929292929","f-d/bc: 2.756981581","l4+l7: 61.39","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0003461-WG3318316-DNA-F01","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","16.74","27.67","34.7","26.97","16.83","31.13","10.46","Cavalier King Charles Spaniel","3","15.84","11.54","case","2.756981581","2.929292929","46.4","22.73","26.5","32.21","118.09","48.27","50.46","70.33","74.11","42.14","61.39","28.84","94.57","19.25","4.76","33.47","1","0"
"GSM2748080","CKCS_Saliva_Unaffected_62","GSM2748080","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 0","f-diam: 47.66","ab: 16.15","bc: 18.68","cd: 13.36","bd: 30.29","ae: 34.63","ID: 31.37","ac: 28.68","ai: 27.76","cj: 12.55","fh: 27.27","fg: 23.96","bk: 11.49","l1 (hae): 119.64","l2 (fac): 67.82","l3 (dib): 73.78","l4 (fae): 44.84","l5 (aeb): 27.99","l6(dba): 96.91","l7(dbi): 21.38","l8 (ebd): 4.54","l9 (jcb): 44.92","l10 (afg): 55.28","l11(ebk): 49.79","f-d/cd: 3.567365269","f-d/bc: 2.551391863","l4+l7: 66.22","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0003454-WG3318316-DNA-F02","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","16.15","28.68","34.63","27.76","18.68","30.29","11.49","Cavalier King Charles Spaniel","0","13.36","12.55","control","2.551391863","3.567365269","47.66","23.96","27.27","31.37","119.64","55.28","49.79","67.82","73.78","44.84","66.22","27.99","96.91","21.38","4.54","44.92","0","0"
