"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","origin:ch1"
"GSM5799321","33638","GSM5799321","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799321/suppl/GSM5799321_201432110164_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799321/suppl/GSM5799321_201432110164_R02C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799322","33655","GSM5799322","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799322/suppl/GSM5799322_201432110164_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799322/suppl/GSM5799322_201432110164_R02C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799323","33643","GSM5799323","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799323/suppl/GSM5799323_201432110164_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799323/suppl/GSM5799323_201432110164_R03C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799324","33660","GSM5799324","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799324/suppl/GSM5799324_201432110164_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799324/suppl/GSM5799324_201432110164_R03C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799325","33645","GSM5799325","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799325/suppl/GSM5799325_201432110164_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799325/suppl/GSM5799325_201432110164_R04C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799326","33663","GSM5799326","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799326/suppl/GSM5799326_201432110164_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799326/suppl/GSM5799326_201432110164_R04C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799327","33646","GSM5799327","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799327/suppl/GSM5799327_201432110164_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799327/suppl/GSM5799327_201432110164_R05C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799328","33667","GSM5799328","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799328/suppl/GSM5799328_201432110164_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799328/suppl/GSM5799328_201432110164_R05C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799329","33648","GSM5799329","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799329/suppl/GSM5799329_201432110164_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799329/suppl/GSM5799329_201432110164_R06C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799330","33709","GSM5799330","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799330/suppl/GSM5799330_201432110164_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799330/suppl/GSM5799330_201432110164_R06C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799331","33711","GSM5799331","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799331/suppl/GSM5799331_201432110165_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799331/suppl/GSM5799331_201432110165_R01C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799332","33723","GSM5799332","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799332/suppl/GSM5799332_201432110165_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799332/suppl/GSM5799332_201432110165_R01C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799333","33713","GSM5799333","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799333/suppl/GSM5799333_201432110165_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799333/suppl/GSM5799333_201432110165_R02C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799334","33716","GSM5799334","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799334/suppl/GSM5799334_201432110165_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799334/suppl/GSM5799334_201432110165_R03C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799335","33717","GSM5799335","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799335/suppl/GSM5799335_201432110165_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799335/suppl/GSM5799335_201432110165_R04C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799336","33720","GSM5799336","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799336/suppl/GSM5799336_201432110165_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799336/suppl/GSM5799336_201432110165_R05C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799337","33722","GSM5799337","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799337/suppl/GSM5799337_201432110165_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799337/suppl/GSM5799337_201432110165_R06C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799338","34725","GSM5799338","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Magallenas region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799338/suppl/GSM5799338_202915900006_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799338/suppl/GSM5799338_202915900006_R06C02_Red.idat.gz","0","Patagonian Ovejero Dog","Magallenas region, Chile"
"GSM5799339","34726","GSM5799339","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Magallenas region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799339/suppl/GSM5799339_202915900012_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799339/suppl/GSM5799339_202915900012_R01C01_Red.idat.gz","0","Patagonian Ovejero Dog","Magallenas region, Chile"
"GSM5799340","34733","GSM5799340","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Magallenas region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799340/suppl/GSM5799340_202915900012_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799340/suppl/GSM5799340_202915900012_R01C02_Red.idat.gz","0","Patagonian Ovejero Dog","Magallenas region, Chile"
"GSM5799341","34727","GSM5799341","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Magallenas region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799341/suppl/GSM5799341_202915900012_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799341/suppl/GSM5799341_202915900012_R02C01_Red.idat.gz","0","Patagonian Ovejero Dog","Magallenas region, Chile"
"GSM5799342","34734","GSM5799342","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Magallenas region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799342/suppl/GSM5799342_202915900012_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799342/suppl/GSM5799342_202915900012_R02C02_Red.idat.gz","0","Patagonian Ovejero Dog","Magallenas region, Chile"
